"","Accuracy","Recall","Precision","F1","FPR","sensitivity"
"1",1,1,1,1,0,1
"2",0.791666666666667,0.833333333333333,0.555555555555556,0.666666666666667,0.0962962962962962,0.791666666666667
"3",0.958333333333333,1,0.857142857142857,0.923076923076923,0.0185185185185185,0.958333333333333
"4",0.75,0.833333333333333,0.5,0.625,0.12037037037037,0.75
"5",0.791666666666667,0.555555555555556,0.833333333333333,0.666666666666667,0.107407407407407,0.791666666666667
"6",1,1,1,1,0,1
"7",0.916666666666667,0.75,1,0.857142857142857,0.0370370370370371,0.916666666666667
"8",0.75,0.5,0.333333333333333,0.4,0.148148148148148,0.75
"9",0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.0925925925925926,0.833333333333333
"10",0.875,0.8,0.666666666666667,0.727272727272727,0.0791245791245792,0.875
"11",0.958333333333333,0.857142857142857,1,0.923076923076923,0.0185185185185185,0.958333333333333
"12",0.958333333333333,1,0.833333333333333,0.909090909090909,0.0277777777777778,0.958333333333333
"13",0.958333333333333,0.857142857142857,1,0.923076923076923,0.0185185185185185,0.958333333333333
"14",0.875,0.8,0.666666666666667,0.727272727272727,0.0740740740740741,0.875
"15",0.875,0.714285714285714,0.833333333333333,0.769230769230769,0.0648148148148149,0.875
"16",0.916666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.0462962962962963,0.916666666666667
"17",0.916666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.0462962962962963,0.916666666666667
"18",0.833333333333333,0.6,1,0.75,0.0740740740740741,0.833333333333333
"19",0.875,0.8,0.666666666666667,0.727272727272727,0.0740740740740741,0.875
"20",0.583333333333333,0.333333333333333,0.666666666666667,0.444444444444444,0.203703703703704,0.583333333333333
